x,q
3.11,"(np.float64(0.012601195737123587), np.float64(-0.0065289712492523355), np.float64(0.003525626594769839))"
3.12,"(np.float64(0.013746758985953003), np.float64(-0.007122514090093457), np.float64(0.0038461381033852785))"
3.13,"(np.float64(0.01489232223478242), np.float64(-0.007716056930934578), np.float64(0.004166649612000719))"
3.14,"(np.float64(0.01603788548361184), np.float64(-0.0083095997717757), np.float64(0.004487161120616159))"
3.15,"(np.float64(0.017183448732441254), np.float64(-0.008903142612616821), np.float64(0.004807672629231598))"
3.16,"(np.float64(0.01832901198127067), np.float64(-0.009496685453457943), np.float64(0.0051281841378470385))"
3.17,"(np.float64(0.01947457523010009), np.float64(-0.010090228294299064), np.float64(0.005448695646462479))"
3.18,"(np.float64(0.020620138478929503), np.float64(-0.010683771135140185), np.float64(0.005769207155077918))"
3.19,"(np.float64(0.02176570172775892), np.float64(-0.011277313975981307), np.float64(0.006089718663693358))"
3.2,"(np.float64(0.02291126497658834), np.float64(-0.011870856816822428), np.float64(0.006410230172308799))"
3.21,"(np.float64(0.024056828225417756), np.float64(-0.01246439965766355), np.float64(0.006730741680924237))"
3.22,"(np.float64(0.025202391474247174), np.float64(-0.013057942498504671), np.float64(0.007051253189539678))"
3.23,"(np.float64(0.02634795472307659), np.float64(-0.013651485339345792), np.float64(0.007371764698155118))"
3.24,"(np.float64(0.027493517971906006), np.float64(-0.014245028180186914), np.float64(0.007692276206770557))"
3.25,"(np.float64(0.028639081220735423), np.float64(-0.014838571021028035), np.float64(0.008012787715385997))"
3.26,"(np.float64(0.02978464446956484), np.float64(-0.015432113861869157), np.float64(0.008333299224001438))"
3.27,"(np.float64(0.03093020771839426), np.float64(-0.016025656702710278), np.float64(0.008653810732616878))"
3.2800000000000002,"(np.float64(0.03207577096722368), np.float64(-0.0166191995435514), np.float64(0.008974322241232319))"
3.29,"(np.float64(0.03322133421605309), np.float64(-0.01721274238439252), np.float64(0.009294833749847756))"
3.3,"(np.float64(0.03436689746488251), np.float64(-0.017806285225233642), np.float64(0.009615345258463196))"
3.31,"(np.float64(0.035512460713711926), np.float64(-0.018399828066074764), np.float64(0.009935856767078637))"
3.32,"(np.float64(0.03665802396254134), np.float64(-0.018993370906915885), np.float64(0.010256368275694077))"
3.33,"(np.float64(0.03780358721137076), np.float64(-0.019586913747757007), np.float64(0.010576879784309517))"
3.34,"(np.float64(0.03894915046020018), np.float64(-0.020180456588598128), np.float64(0.010897391292924958))"
3.35,"(np.float64(0.04009471370902959), np.float64(-0.02077399942943925), np.float64(0.011217902801540395))"
3.36,"(np.float64(0.04124027695785901), np.float64(-0.02136754227028037), np.float64(0.011538414310155835))"
3.37,"(np.float64(0.042385840206688424), np.float64(-0.021961085111121492), np.float64(0.011858925818771276))"
3.38,"(np.float64(0.04353140345551784), np.float64(-0.022554627951962614), np.float64(0.012179437327386716))"
3.39,"(np.float64(0.04467696670434726), np.float64(-0.023148170792803735), np.float64(0.012499948836002157))"
3.4,"(np.float64(0.04582252995317668), np.float64(-0.023741713633644856), np.float64(0.012820460344617597))"
3.41,"(np.float64(0.04696809320200609), np.float64(-0.024335256474485978), np.float64(0.013140971853233034))"
3.42,"(np.float64(0.04811365645083551), np.float64(-0.0249287993153271), np.float64(0.013461483361848475))"
3.43,"(np.float64(0.04925921969966493), np.float64(-0.02552234215616822), np.float64(0.013781994870463915))"
3.44,"(np.float64(0.05040478294849435), np.float64(-0.026115884997009342), np.float64(0.014102506379079355))"
3.45,"(np.float64(0.051550346197323765), np.float64(-0.026709427837850463), np.float64(0.014423017887694796))"
3.46,"(np.float64(0.05269590944615318), np.float64(-0.027302970678691585), np.float64(0.014743529396310236))"
3.4699999999999998,"(np.float64(0.053841472694982594), np.float64(-0.027896513519532706), np.float64(0.015064040904925673))"
3.48,"(np.float64(0.05498703594381201), np.float64(-0.028490056360373828), np.float64(0.015384552413541114))"
3.49,"(np.float64(0.05613259919264143), np.float64(-0.02908359920121495), np.float64(0.015705063922156554))"
3.5,"(np.float64(0.057278162441470847), np.float64(-0.02967714204205607), np.float64(0.016025575430771995))"
3.51,"(np.float64(0.058423725690300264), np.float64(-0.030270684882897192), np.float64(0.016346086939387435))"
3.52,"(np.float64(0.05956928893912968), np.float64(-0.030864227723738313), np.float64(0.016666598448002876))"
3.5300000000000002,"(np.float64(0.0607148521879591), np.float64(-0.031457770564579435), np.float64(0.016987109956618316))"
3.54,"(np.float64(0.06186041543678852), np.float64(-0.032051313405420556), np.float64(0.017307621465233756))"
3.55,"(np.float64(0.06300597868561794), np.float64(-0.03264485624626168), np.float64(0.017628132973849197))"
3.56,"(np.float64(0.06415154193444736), np.float64(-0.0332383990871028), np.float64(0.017948644482464637))"
3.57,"(np.float64(0.06529710518327676), np.float64(-0.03383194192794392), np.float64(0.01826915599108007))"
3.58,"(np.float64(0.06644266843210618), np.float64(-0.03442548476878504), np.float64(0.01858966749969551))"
3.59,"(np.float64(0.0675882316809356), np.float64(-0.03501902760962616), np.float64(0.018910179008310952))"
3.6,"(np.float64(0.06873379492976502), np.float64(-0.035612570450467285), np.float64(0.019230690516926392))"
3.61,"(np.float64(0.06987935817859443), np.float64(-0.036206113291308406), np.float64(0.019551202025541833))"
3.62,"(np.float64(0.07102492142742385), np.float64(-0.03679965613214953), np.float64(0.019871713534157273))"
3.63,"(np.float64(0.07217048467625327), np.float64(-0.03739319897299065), np.float64(0.020192225042772714))"
3.64,"(np.float64(0.07331604792508269), np.float64(-0.03798674181383177), np.float64(0.020512736551388154))"
3.65,"(np.float64(0.0744616111739121), np.float64(-0.03858028465467289), np.float64(0.020833248060003594))"
3.66,"(np.float64(0.07560717442274152), np.float64(-0.03917382749551401), np.float64(0.021153759568619035))"
3.67,"(np.float64(0.07675273767157094), np.float64(-0.039767370336355135), np.float64(0.021474271077234475))"
3.68,"(np.float64(0.07789830092040036), np.float64(-0.040360913177196256), np.float64(0.021794782585849916))"
3.69,"(np.float64(0.07904386416922976), np.float64(-0.04095445601803738), np.float64(0.02211529409446535))"
3.7,"(np.float64(0.08018942741805918), np.float64(-0.0415479988588785), np.float64(0.02243580560308079))"
3.71,"(np.float64(0.0813349906668886), np.float64(-0.04214154169971962), np.float64(0.02275631711169623))"
3.7199999999999998,"(np.float64(0.08248055391571801), np.float64(-0.04273508454056074), np.float64(0.02307682862031167))"
3.73,"(np.float64(0.08362611716454743), np.float64(-0.04332862738140186), np.float64(0.02339734012892711))"
3.74,"(np.float64(0.08477168041337685), np.float64(-0.043922170222242984), np.float64(0.02371785163754255))"
3.75,"(np.float64(0.08591724366220627), np.float64(-0.044515713063084106), np.float64(0.024038363146157992))"
3.76,"(np.float64(0.08706280691103568), np.float64(-0.04510925590392523), np.float64(0.024358874654773432))"
3.77,"(np.float64(0.0882083701598651), np.float64(-0.04570279874476635), np.float64(0.024679386163388873))"
3.7800000000000002,"(np.float64(0.08935393340869452), np.float64(-0.04629634158560747), np.float64(0.024999897672004313))"
3.79,"(np.float64(0.09049949665752394), np.float64(-0.04688988442644859), np.float64(0.025320409180619754))"
3.8,"(np.float64(0.09164505990635335), np.float64(-0.04748342726728971), np.float64(0.025640920689235194))"
3.81,"(np.float64(0.09279062315518277), np.float64(-0.048076970108130834), np.float64(0.025961432197850635))"
3.82,"(np.float64(0.09393618640401218), np.float64(-0.048670512948971956), np.float64(0.026281943706466068))"
3.83,"(np.float64(0.09508174965284161), np.float64(-0.04926405578981308), np.float64(0.02660245521508151))"
3.84,"(np.float64(0.09622731290167102), np.float64(-0.0498575986306542), np.float64(0.02692296672369695))"
3.85,"(np.float64(0.09737287615050044), np.float64(-0.05045114147149532), np.float64(0.02724347823231239))"
3.86,"(np.float64(0.09851843939932986), np.float64(-0.05104468431233644), np.float64(0.02756398974092783))"
3.87,"(np.float64(0.09966400264815928), np.float64(-0.05163822715317756), np.float64(0.02788450124954327))"
3.88,"(np.float64(0.1008095658969887), np.float64(-0.052231769994018684), np.float64(0.02820501275815871))"
3.89,"(np.float64(0.10195512914581811), np.float64(-0.052825312834859806), np.float64(0.02852552426677415))"
3.9,"(np.float64(0.10310069239464753), np.float64(-0.05341885567570093), np.float64(0.028846035775389592))"
3.91,"(np.float64(0.10424625564347695), np.float64(-0.05401239851654205), np.float64(0.029166547284005032))"
3.92,"(np.float64(0.10539181889230637), np.float64(-0.05460594135738317), np.float64(0.029487058792620473))"
3.93,"(np.float64(0.10653738214113578), np.float64(-0.05519948419822429), np.float64(0.029807570301235913))"
3.94,"(np.float64(0.10768294538996519), np.float64(-0.05579302703906541), np.float64(0.030128081809851347))"
3.95,"(np.float64(0.1088285086387946), np.float64(-0.056386569879906534), np.float64(0.030448593318466787))"
3.96,"(np.float64(0.10997407188762402), np.float64(-0.056980112720747655), np.float64(0.030769104827082228))"
3.9699999999999998,"(np.float64(0.11111963513645344), np.float64(-0.05757365556158878), np.float64(0.031089616335697668))"
3.98,"(np.float64(0.11226519838528286), np.float64(-0.0581671984024299), np.float64(0.03141012784431311))"
3.99,"(np.float64(0.11341076163411228), np.float64(-0.05876074124327102), np.float64(0.03173063935292855))"
4.0,"(np.float64(0.11455632488294169), np.float64(-0.05935428408411214), np.float64(0.03205115086154399))"
4.0,"(np.float64(0.11455632488294169), np.float64(-0.05935428408411214), np.float64(-0.06447147490723444))"
4.01,"(np.float64(0.11341076163411228), np.float64(-0.05876074124327102), np.float64(-0.06382676015816209))"
4.02,"(np.float64(0.11226519838528286), np.float64(-0.0581671984024299), np.float64(-0.06318204540908975))"
4.03,"(np.float64(0.11111963513645344), np.float64(-0.05757365556158878), np.float64(-0.0625373306600174))"
4.04,"(np.float64(0.10997407188762402), np.float64(-0.056980112720747655), np.float64(-0.06189261591094506))"
4.05,"(np.float64(0.1088285086387946), np.float64(-0.056386569879906534), np.float64(-0.06124790116187272))"
4.06,"(np.float64(0.10768294538996519), np.float64(-0.05579302703906541), np.float64(-0.060603186412800374))"
4.07,"(np.float64(0.10653738214113577), np.float64(-0.055199484198224284), np.float64(-0.05995847166372802))"
4.08,"(np.float64(0.10539181889230637), np.float64(-0.05460594135738317), np.float64(-0.05931375691465569))"
4.09,"(np.float64(0.10424625564347695), np.float64(-0.05401239851654205), np.float64(-0.05866904216558334))"
4.1,"(np.float64(0.10310069239464753), np.float64(-0.05341885567570093), np.float64(-0.058024327416511))"
4.11,"(np.float64(0.10195512914581811), np.float64(-0.052825312834859806), np.float64(-0.057379612667438656))"
4.12,"(np.float64(0.1008095658969887), np.float64(-0.052231769994018684), np.float64(-0.056734897918366306))"
4.13,"(np.float64(0.09966400264815928), np.float64(-0.05163822715317756), np.float64(-0.05609018316929396))"
4.14,"(np.float64(0.09851843939932986), np.float64(-0.05104468431233644), np.float64(-0.05544546842022162))"
4.15,"(np.float64(0.09737287615050044), np.float64(-0.05045114147149532), np.float64(-0.054800753671149276))"
4.16,"(np.float64(0.09622731290167102), np.float64(-0.0498575986306542), np.float64(-0.054156038922076925))"
4.17,"(np.float64(0.09508174965284161), np.float64(-0.04926405578981308), np.float64(-0.05351132417300458))"
4.18,"(np.float64(0.09393618640401219), np.float64(-0.04867051294897196), np.float64(-0.052866609423932245))"
4.19,"(np.float64(0.09279062315518277), np.float64(-0.048076970108130834), np.float64(-0.0522218946748599))"
4.2,"(np.float64(0.09164505990635335), np.float64(-0.04748342726728971), np.float64(-0.05157717992578756))"
4.21,"(np.float64(0.09049949665752394), np.float64(-0.04688988442644859), np.float64(-0.05093246517671521))"
4.22,"(np.float64(0.08935393340869452), np.float64(-0.04629634158560747), np.float64(-0.050287750427642865))"
4.23,"(np.float64(0.0882083701598651), np.float64(-0.04570279874476635), np.float64(-0.04964303567857052))"
4.24,"(np.float64(0.08706280691103568), np.float64(-0.04510925590392523), np.float64(-0.04899832092949818))"
4.25,"(np.float64(0.08591724366220627), np.float64(-0.044515713063084106), np.float64(-0.048353606180425834))"
4.26,"(np.float64(0.08477168041337685), np.float64(-0.043922170222242984), np.float64(-0.047708891431353484))"
4.27,"(np.float64(0.08362611716454743), np.float64(-0.04332862738140186), np.float64(-0.04706417668228114))"
4.28,"(np.float64(0.08248055391571801), np.float64(-0.04273508454056074), np.float64(-0.0464194619332088))"
4.29,"(np.float64(0.0813349906668886), np.float64(-0.04214154169971962), np.float64(-0.045774747184136454))"
4.3,"(np.float64(0.08018942741805918), np.float64(-0.0415479988588785), np.float64(-0.0451300324350641))"
4.31,"(np.float64(0.07904386416922976), np.float64(-0.04095445601803738), np.float64(-0.04448531768599176))"
4.32,"(np.float64(0.07789830092040034), np.float64(-0.04036091317719625), np.float64(-0.043840602936919416))"
4.33,"(np.float64(0.07675273767157093), np.float64(-0.03976737033635513), np.float64(-0.04319588818784707))"
4.34,"(np.float64(0.07560717442274151), np.float64(-0.039173827495514006), np.float64(-0.04255117343877472))"
4.35,"(np.float64(0.0744616111739121), np.float64(-0.03858028465467289), np.float64(-0.041906458689702386))"
4.36,"(np.float64(0.07331604792508269), np.float64(-0.03798674181383177), np.float64(-0.04126174394063004))"
4.37,"(np.float64(0.07217048467625327), np.float64(-0.03739319897299065), np.float64(-0.0406170291915577))"
4.38,"(np.float64(0.07102492142742385), np.float64(-0.03679965613214953), np.float64(-0.039972314442485356))"
4.39,"(np.float64(0.06987935817859443), np.float64(-0.036206113291308406), np.float64(-0.039327599693413005))"
4.4,"(np.float64(0.06873379492976502), np.float64(-0.035612570450467285), np.float64(-0.03868288494434066))"
4.41,"(np.float64(0.06758823168093561), np.float64(-0.03501902760962617), np.float64(-0.038038170195268325))"
4.42,"(np.float64(0.0664426684321062), np.float64(-0.03442548476878505), np.float64(-0.03739345544619598))"
4.43,"(np.float64(0.06529710518327678), np.float64(-0.03383194192794393), np.float64(-0.03674874069712364))"
4.44,"(np.float64(0.06415154193444736), np.float64(-0.0332383990871028), np.float64(-0.03610402594805129))"
4.45,"(np.float64(0.06300597868561794), np.float64(-0.03264485624626168), np.float64(-0.035459311198978945))"
4.46,"(np.float64(0.06186041543678852), np.float64(-0.032051313405420556), np.float64(-0.0348145964499066))"
4.47,"(np.float64(0.0607148521879591), np.float64(-0.031457770564579435), np.float64(-0.03416988170083426))"
4.48,"(np.float64(0.05956928893912968), np.float64(-0.030864227723738313), np.float64(-0.03352516695176191))"
4.49,"(np.float64(0.058423725690300264), np.float64(-0.030270684882897192), np.float64(-0.032880452202689564))"
4.5,"(np.float64(0.057278162441470847), np.float64(-0.02967714204205607), np.float64(-0.03223573745361722))"
4.51,"(np.float64(0.05613259919264143), np.float64(-0.02908359920121495), np.float64(-0.03159102270454488))"
4.52,"(np.float64(0.05498703594381201), np.float64(-0.028490056360373828), np.float64(-0.03094630795547253))"
4.53,"(np.float64(0.053841472694982594), np.float64(-0.027896513519532706), np.float64(-0.030301593206400187))"
4.54,"(np.float64(0.052695909446153176), np.float64(-0.02730297067869158), np.float64(-0.02965687845732784))"
4.55,"(np.float64(0.05155034619732376), np.float64(-0.02670942783785046), np.float64(-0.029012163708255496))"
4.5600000000000005,"(np.float64(0.05040478294849434), np.float64(-0.02611588499700934), np.float64(-0.02836744895918315))"
4.57,"(np.float64(0.04925921969966494), np.float64(-0.025522342156168224), np.float64(-0.027722734210110813))"
4.58,"(np.float64(0.04811365645083551), np.float64(-0.024928799315327103), np.float64(-0.02707801946103847))"
4.59,"(np.float64(0.046968093202006095), np.float64(-0.02433525647448598), np.float64(-0.026433304711966123))"
4.6,"(np.float64(0.04582252995317668), np.float64(-0.023741713633644856), np.float64(-0.02578858996289378))"
4.61,"(np.float64(0.04467696670434726), np.float64(-0.023148170792803735), np.float64(-0.025143875213821432))"
4.62,"(np.float64(0.04353140345551784), np.float64(-0.022554627951962614), np.float64(-0.02449916046474909))"
4.63,"(np.float64(0.042385840206688424), np.float64(-0.021961085111121492), np.float64(-0.023854445715676742))"
4.64,"(np.float64(0.04124027695785901), np.float64(-0.02136754227028037), np.float64(-0.0232097309666044))"
4.65,"(np.float64(0.04009471370902959), np.float64(-0.02077399942943925), np.float64(-0.02256501621753205))"
4.66,"(np.float64(0.03894915046020017), np.float64(-0.020180456588598124), np.float64(-0.021920301468459708))"
4.67,"(np.float64(0.037803587211370754), np.float64(-0.019586913747757003), np.float64(-0.02127558671938736))"
4.68,"(np.float64(0.036658023962541336), np.float64(-0.01899337090691588), np.float64(-0.020630871970315018))"
4.6899999999999995,"(np.float64(0.03551246071371193), np.float64(-0.018399828066074767), np.float64(-0.01998615722124268))"
4.7,"(np.float64(0.034366897464882515), np.float64(-0.017806285225233646), np.float64(-0.019341442472170334))"
4.71,"(np.float64(0.0332213342160531), np.float64(-0.017212742384392524), np.float64(-0.01869672772309799))"
4.72,"(np.float64(0.03207577096722368), np.float64(-0.0166191995435514), np.float64(-0.018052012974025644))"
4.73,"(np.float64(0.03093020771839426), np.float64(-0.016025656702710278), np.float64(-0.0174072982249533))"
4.74,"(np.float64(0.02978464446956484), np.float64(-0.015432113861869157), np.float64(-0.016762583475880954))"
4.75,"(np.float64(0.028639081220735423), np.float64(-0.014838571021028035), np.float64(-0.01611786872680861))"
4.76,"(np.float64(0.027493517971906006), np.float64(-0.014245028180186914), np.float64(-0.015473153977736265))"
4.77,"(np.float64(0.026347954723076588), np.float64(-0.01365148533934579), np.float64(-0.01482843922866392))"
4.78,"(np.float64(0.02520239147424717), np.float64(-0.01305794249850467), np.float64(-0.014183724479591575))"
4.79,"(np.float64(0.024056828225417753), np.float64(-0.012464399657663548), np.float64(-0.01353900973051923))"
4.8,"(np.float64(0.022911264976588335), np.float64(-0.011870856816822425), np.float64(-0.012894294981446886))"
4.8100000000000005,"(np.float64(0.021765701727758914), np.float64(-0.011277313975981303), np.float64(-0.012249580232374541))"
4.82,"(np.float64(0.02062013847892951), np.float64(-0.010683771135140189), np.float64(-0.011604865483302203))"
4.83,"(np.float64(0.019474575230100093), np.float64(-0.010090228294299066), np.float64(-0.010960150734229858))"
4.84,"(np.float64(0.018329011981270675), np.float64(-0.009496685453457944), np.float64(-0.010315435985157512))"
4.85,"(np.float64(0.017183448732441257), np.float64(-0.008903142612616823), np.float64(-0.009670721236085167))"
4.86,"(np.float64(0.01603788548361184), np.float64(-0.0083095997717757), np.float64(-0.009026006487012822))"
4.87,"(np.float64(0.01489232223478242), np.float64(-0.007716056930934578), np.float64(-0.008381291737940477))"
4.88,"(np.float64(0.013746758985953003), np.float64(-0.007122514090093457), np.float64(-0.0077365769888681326))"
4.89,"(np.float64(0.012601195737123585), np.float64(-0.006528971249252335), np.float64(-0.007091862239795787))"
4.9,"(np.float64(0.011455632488294168), np.float64(-0.005935428408411212), np.float64(-0.006447147490723443))"
4.91,"(np.float64(0.010310069239464748), np.float64(-0.005341885567570091), np.float64(-0.005802432741651098))"
4.92,"(np.float64(0.00916450599063533), np.float64(-0.004748342726728969), np.float64(-0.005157717992578753))"
4.93,"(np.float64(0.008018942741805913), np.float64(-0.004154799885887847), np.float64(-0.0045130032435064076))"
4.9399999999999995,"(np.float64(0.0068733794929765075), np.float64(-0.0035612570450467315), np.float64(-0.0038682884944340697))"
4.95,"(np.float64(0.00572781624414709), np.float64(-0.0029677142042056097), np.float64(-0.003223573745361725))"
4.96,"(np.float64(0.004582252995317671), np.float64(-0.002374171363364488), np.float64(-0.00257885899628938))"
4.97,"(np.float64(0.0034366897464882537), np.float64(-0.0017806285225233658), np.float64(-0.0019341442472170349))"
4.98,"(np.float64(0.0022911264976588357), np.float64(-0.001187085681682244), np.float64(-0.00128942949814469))"
4.99,"(np.float64(0.0011455632488294178), np.float64(-0.000593542840841122), np.float64(-0.000644714749072345))"
5.0,"(np.float64(0.0), np.float64(0.0), np.float64(0.0))"
5.01,"(np.float64(0.001145563248829417), np.float64(0.00045997938691497793), np.float64(0.0004343312661638158))"
5.02,"(np.float64(0.002291126497658834), np.float64(0.0009199587738299559), np.float64(0.0008686625323276316))"
5.03,"(np.float64(0.0034366897464882507), np.float64(0.0013799381607449337), np.float64(0.0013029937984914473))"
5.04,"(np.float64(0.004582252995317668), np.float64(0.0018399175476599117), np.float64(0.0017373250646552632))"
5.05,"(np.float64(0.005727816244147085), np.float64(0.0022998969345748898), np.float64(0.0021716563308190793))"
5.06,"(np.float64(0.006873379492976501), np.float64(0.0027598763214898674), np.float64(0.0026059875969828947))"
5.07,"(np.float64(0.00801894274180592), np.float64(0.003219855708404846), np.float64(0.003040318863146711))"
5.08,"(np.float64(0.009164505990635336), np.float64(0.0036798350953198234), np.float64(0.0034746501293105264))"
5.09,"(np.float64(0.010310069239464752), np.float64(0.004139814482234801), np.float64(0.003908981395474342))"
5.1,"(np.float64(0.01145563248829417), np.float64(0.0045997938691497795), np.float64(0.0043433126616381585))"
5.11,"(np.float64(0.012601195737123587), np.float64(0.005059773256064757), np.float64(0.004777643927801974))"
5.12,"(np.float64(0.013746758985953003), np.float64(0.005519752642979735), np.float64(0.005211975193965789))"
5.13,"(np.float64(0.01489232223478242), np.float64(0.005979732029894713), np.float64(0.005646306460129606))"
5.14,"(np.float64(0.01603788548361184), np.float64(0.006439711416809692), np.float64(0.006080637726293422))"
5.15,"(np.float64(0.017183448732441254), np.float64(0.006899690803724668), np.float64(0.0065149689924572365))"
5.16,"(np.float64(0.01832901198127067), np.float64(0.007359670190639647), np.float64(0.006949300258621053))"
5.17,"(np.float64(0.01947457523010009), np.float64(0.007819649577554625), np.float64(0.007383631524784869))"
5.18,"(np.float64(0.020620138478929503), np.float64(0.008279628964469602), np.float64(0.007817962790948685))"
5.19,"(np.float64(0.02176570172775892), np.float64(0.00873960835138458), np.float64(0.0082522940571125))"
5.2,"(np.float64(0.02291126497658834), np.float64(0.009199587738299559), np.float64(0.008686625323276317))"
5.21,"(np.float64(0.024056828225417756), np.float64(0.009659567125214536), np.float64(0.009120956589440132))"
5.22,"(np.float64(0.025202391474247174), np.float64(0.010119546512129514), np.float64(0.009555287855603948))"
5.23,"(np.float64(0.02634795472307659), np.float64(0.010579525899044493), np.float64(0.009989619121767764))"
5.24,"(np.float64(0.027493517971906006), np.float64(0.01103950528595947), np.float64(0.010423950387931579))"
5.25,"(np.float64(0.028639081220735423), np.float64(0.011499484672874448), np.float64(0.010858281654095395))"
5.26,"(np.float64(0.02978464446956484), np.float64(0.011959464059789426), np.float64(0.011292612920259211))"
5.27,"(np.float64(0.03093020771839426), np.float64(0.012419443446704405), np.float64(0.011726944186423028))"
5.28,"(np.float64(0.03207577096722368), np.float64(0.012879422833619383), np.float64(0.012161275452586844))"
5.29,"(np.float64(0.03322133421605309), np.float64(0.013339402220534358), np.float64(0.012595606718750657))"
5.3,"(np.float64(0.03436689746488251), np.float64(0.013799381607449337), np.float64(0.013029937984914473))"
5.31,"(np.float64(0.035512460713711926), np.float64(0.014259360994364315), np.float64(0.01346426925107829))"
5.32,"(np.float64(0.03665802396254134), np.float64(0.014719340381279294), np.float64(0.013898600517242106))"
5.33,"(np.float64(0.03780358721137076), np.float64(0.015179319768194272), np.float64(0.014332931783405922))"
5.34,"(np.float64(0.03894915046020018), np.float64(0.01563929915510925), np.float64(0.014767263049569738))"
5.35,"(np.float64(0.04009471370902959), np.float64(0.016099278542024226), np.float64(0.015201594315733553))"
5.36,"(np.float64(0.04124027695785901), np.float64(0.016559257928939204), np.float64(0.01563592558189737))"
5.37,"(np.float64(0.042385840206688424), np.float64(0.017019237315854183), np.float64(0.016070256848061185))"
5.38,"(np.float64(0.04353140345551784), np.float64(0.01747921670276916), np.float64(0.016504588114225))"
5.39,"(np.float64(0.04467696670434726), np.float64(0.01793919608968414), np.float64(0.016938919380388818))"
5.4,"(np.float64(0.04582252995317668), np.float64(0.018399175476599118), np.float64(0.017373250646552634))"
5.41,"(np.float64(0.04696809320200609), np.float64(0.018859154863514093), np.float64(0.017807581912716447))"
5.42,"(np.float64(0.04811365645083551), np.float64(0.01931913425042907), np.float64(0.018241913178880263))"
5.43,"(np.float64(0.04925921969966493), np.float64(0.01977911363734405), np.float64(0.01867624444504408))"
5.44,"(np.float64(0.05040478294849435), np.float64(0.02023909302425903), np.float64(0.019110575711207896))"
5.45,"(np.float64(0.051550346197323765), np.float64(0.020699072411174007), np.float64(0.019544906977371712))"
5.46,"(np.float64(0.05269590944615318), np.float64(0.021159051798088985), np.float64(0.01997923824353553))"
5.47,"(np.float64(0.053841472694982594), np.float64(0.02161903118500396), np.float64(0.02041356950969934))"
5.48,"(np.float64(0.05498703594381201), np.float64(0.02207901057191894), np.float64(0.020847900775863158))"
5.49,"(np.float64(0.05613259919264143), np.float64(0.022538989958833917), np.float64(0.021282232042026974))"
5.5,"(np.float64(0.057278162441470847), np.float64(0.022998969345748896), np.float64(0.02171656330819079))"
5.51,"(np.float64(0.058423725690300264), np.float64(0.023458948732663874), np.float64(0.022150894574354606))"
5.52,"(np.float64(0.05956928893912968), np.float64(0.023918928119578853), np.float64(0.022585225840518423))"
5.53,"(np.float64(0.0607148521879591), np.float64(0.02437890750649383), np.float64(0.02301955710668224))"
5.54,"(np.float64(0.06186041543678852), np.float64(0.02483888689340881), np.float64(0.023453888372846055))"
5.55,"(np.float64(0.06300597868561794), np.float64(0.025298866280323788), np.float64(0.02388821963900987))"
5.5600000000000005,"(np.float64(0.06415154193444736), np.float64(0.025758845667238767), np.float64(0.024322550905173688))"
5.57,"(np.float64(0.06529710518327676), np.float64(0.026218825054153738), np.float64(0.024756882171337497))"
5.58,"(np.float64(0.06644266843210618), np.float64(0.026678804441068717), np.float64(0.025191213437501313))"
5.59,"(np.float64(0.0675882316809356), np.float64(0.027138783827983695), np.float64(0.02562554470366513))"
5.6,"(np.float64(0.06873379492976502), np.float64(0.027598763214898674), np.float64(0.026059875969828946))"
5.61,"(np.float64(0.06987935817859443), np.float64(0.028058742601813652), np.float64(0.026494207235992762))"
5.62,"(np.float64(0.07102492142742385), np.float64(0.02851872198872863), np.float64(0.02692853850215658))"
5.63,"(np.float64(0.07217048467625327), np.float64(0.02897870137564361), np.float64(0.027362869768320395))"
5.64,"(np.float64(0.07331604792508269), np.float64(0.029438680762558588), np.float64(0.02779720103448421))"
5.65,"(np.float64(0.0744616111739121), np.float64(0.029898660149473566), np.float64(0.028231532300648027))"
5.66,"(np.float64(0.07560717442274152), np.float64(0.030358639536388544), np.float64(0.028665863566811844))"
5.67,"(np.float64(0.07675273767157094), np.float64(0.030818618923303523), np.float64(0.02910019483297566))"
5.68,"(np.float64(0.07789830092040036), np.float64(0.0312785983102185), np.float64(0.029534526099139476))"
5.6899999999999995,"(np.float64(0.07904386416922976), np.float64(0.03173857769713347), np.float64(0.02996885736530329))"
5.7,"(np.float64(0.08018942741805918), np.float64(0.03219855708404845), np.float64(0.030403188631467105))"
5.71,"(np.float64(0.0813349906668886), np.float64(0.03265853647096343), np.float64(0.03083751989763092))"
5.72,"(np.float64(0.08248055391571801), np.float64(0.03311851585787841), np.float64(0.03127185116379474))"
5.73,"(np.float64(0.08362611716454743), np.float64(0.03357849524479339), np.float64(0.031706182429958554))"
5.74,"(np.float64(0.08477168041337685), np.float64(0.034038474631708365), np.float64(0.03214051369612237))"
5.75,"(np.float64(0.08591724366220627), np.float64(0.034498454018623344), np.float64(0.03257484496228619))"
5.76,"(np.float64(0.08706280691103568), np.float64(0.03495843340553832), np.float64(0.03300917622845))"
5.77,"(np.float64(0.0882083701598651), np.float64(0.0354184127924533), np.float64(0.03344350749461382))"
5.78,"(np.float64(0.08935393340869452), np.float64(0.03587839217936828), np.float64(0.033877838760777636))"
5.79,"(np.float64(0.09049949665752394), np.float64(0.03633837156628326), np.float64(0.03431217002694145))"
5.8,"(np.float64(0.09164505990635335), np.float64(0.036798350953198236), np.float64(0.03474650129310527))"
5.8100000000000005,"(np.float64(0.09279062315518277), np.float64(0.037258330340113215), np.float64(0.035180832559269085))"
