path_label_1,path_label_2,path_length,path_coordinate,k_1,k_2,k_3,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6
X,G,0.0153618973096021,0,0,0,-0.5,0.100829289429241,0.114262854482289,0.128054789108327,0.145548474922653,0.176398617876427,0.22835926160192
X,G,0.0153618973096021,0.01,0,0,-0.495,0.100797025543954,0.114222555043067,0.128053902302064,0.145596936018727,0.176393594449117,0.228366120469672
X,G,0.0153618973096021,0.02,0,0,-0.49,0.100700550777594,0.114101935537737,0.128051679071765,0.145741230005584,0.176378577566715,0.228386694203233
X,G,0.0153618973096021,0.03,0,0,-0.485,0.100540798672012,0.113901852676844,0.128049313923295,0.14597820305668,0.176353727298575,0.22842097417699
X,G,0.0153618973096021,0.04,0,0,-0.48,0.100319270227838,0.113623790063152,0.128048444566749,0.1463029516339,0.176319309989829,0.22846894595978
X,G,0.0153618973096021,0.05,0,0,-0.475,0.100037958709571,0.11326990617806,0.128050735375506,0.146709267092456,0.176275697583854,0.228530589232062
X,G,0.0153618973096021,0.06,0,0,-0.47,0.099699257083452,0.11284304779124,0.128057470827345,0.147190122631782,0.176223366631616,0.228605877669724
X,G,0.0153618973096021,0.07,0,0,-0.465,0.0993058575907919,0.112346706168772,0.128069248337133,0.147738126342661,0.176162896949775,0.228694778794382
X,G,0.0153618973096021,0.08,0,0,-0.46,0.0988606522324956,0.111784912631662,0.128085813900772,0.148345891645879,0.176094969884528,0.228797253790058
X,G,0.0153618973096021,0.09,0,0,-0.455,0.0983666410894775,0.111162088078242,0.128106037936732,0.149006306239753,0.176020366138483,0.228913257286218
X,G,0.0153618973096021,0.1,0,0,-0.45,0.0978268530427145,0.110482871209418,0.12812799825777,0.149712703355522,0.175939963125262,0.229042737107344
X,G,0.0153618973096021,0.11,0,0,-0.445,0.0972442811350012,0.10975195076937,0.128149126206541,0.15045895174935,0.175854731833285,0.229185633989441
X,G,0.0153618973096021,0.12,0,0,-0.44,0.0966218328989477,0.108973920838784,0.128166376024305,0.151239484987978,0.175765733209045,0.229341881264195
X,G,0.0153618973096021,0.13,0,0,-0.435,0.0959622946212097,0.108153169354019,0.12817638891059,0.152049289369804,0.175674114114516,0.229511404511857
X,G,0.0153618973096021,0.14,0,0,-0.43,0.0952683077177306,0.107293802013744,0.128175635652708,0.152883866145134,0.175581102976892,0.229694121184398
X,G,0.0153618973096021,0.15,0,0,-0.425,0.0945423550602243,0.10639959825611,0.128160531657814,0.15373917947067,0.175488005336216,0.229889940200912
X,G,0.0153618973096021,0.16,0,0,-0.42,0.0937867550869385,0.105473993219947,0.12812752467689,0.154611597736329,0.175396199612818,0.230098761517789
X,G,0.0153618973096021,0.17,0,0,-0.415,0.0930036617235919,0.10452007891476,0.128073158871753,0.155497832884477,0.175307133568153,0.230320475676712
